plot_id,strata,group,geometry,xproj,yproj
GIFO-FUELS-085P,NW_E-over5-Unburned-none,Giant Forest,"c(343632.188740499, 4046771.10248118)",343632.1887404986,4046771.102481177
GIFO-FUELS-086P,NW_E-under5-Low-many,Giant Forest,"c(342719.090592492, 4049596.59080519)",342719.0905924917,4049596.590805189
GIFO-FUELS-087P,NW_E-under5-Low-one,Giant Forest,"c(341023.500000665, 4046653.10196617)",341023.5000006652,4046653.1019661687
GIFO-FUELS-088P,NW_E-under5-Low-one,Giant Forest,"c(342518.903826719, 4049602.86847342)",342518.9038267188,4049602.8684734204
GIFO-FUELS-089P,NW_E-under5-Low-one,Giant Forest,"c(341423.87345553, 4046640.55188752)",341423.8734555305,4046640.551887524
GIFO-FUELS-090P,NW_E-under5-Moderate-one,Giant Forest,"c(340053.921846639, 4047682.38561967)",340053.9218466388,4047682.3856196655
GIFO-FUELS-091P,NW_E-under5-Unburned-none,Giant Forest,"c(342913.002672326, 4049390.7345359)",342913.0026723263,4049390.7345359027
GIFO-FUELS-092P,NW_E-under5-Unburned-none,Giant Forest,"c(341486.598995298, 4048636.35702506)",341486.59899529815,4048636.3570250575
GIFO-FUELS-093P,NW_E-under5-Unburned-none,Giant Forest,"c(342212.074632231, 4046216.29032118)",342212.07463223115,4046216.2903211797
GIFO-FUELS-094P,SE_W-under5-Low-many,Giant Forest,"c(343707.472588587, 4049166.04587327)",343707.47258858697,4049166.0458732727
GIFO-FUELS-095P,SE_W-under5-Low-many,Giant Forest,"c(344070.198239334, 4047956.02240978)",344070.19823933387,4047956.022409778
GIFO-FUELS-096P,SE_W-under5-Low-many,Giant Forest,"c(344089.020322993, 4048554.7569183)",344089.02032299305,4048554.7569182958
GIFO-FUELS-097P,SE_W-under5-Low-many,Giant Forest,"c(340079.011309595, 4048480.71136027)",340079.0113095954,4048480.7113602683
GIFO-FUELS-098P,SE_W-under5-Low-many,Giant Forest,"c(342074.613355694, 4048218.36751204)",342074.613355694,4048218.36751204
GIFO-FUELS-099P,SE_W-under5-Low-many,Giant Forest,"c(342650.080079591, 4047401.21997919)",342650.080079591,4047401.2199791945
GIFO-FUELS-100P,SE_W-under5-Low-one,Giant Forest,"c(342725.365204884, 4049796.16943098)",342725.3652048841,4049796.169430979
GIFO-FUELS-101P,SE_W-under5-Low-one,Giant Forest,"c(341430.145307025, 4046840.13281356)",341430.14530702477,4046840.1328135645
GIFO-FUELS-102P,SE_W-under5-Unburned-none,Giant Forest,"c(343438.276499216, 4046976.95746046)",343438.2764992157,4046976.9574604635
GIFO-FUELS-103P,SE_W-under5-Unburned-none,Giant Forest,"c(341286.411628591, 4048642.63365856)",341286.41162859136,4048642.633658559
GIFO-FUELS-104P,SE_W-under5-Unburned-none,Giant Forest,"c(342624.989995897, 4046602.90058364)",342624.9899958974,4046602.9005836355
GIFO-FUELS-105P,SE_W-under5-Unburned-none,Giant Forest,"c(341073.678030153, 4048249.74932246)",341073.67803015315,4048249.74932246
LIRE-FUELS-106P,SE_W-under5-Unburned-none,Redwood Meadow,"c(354522.892832255, 4042634.00508951)",354522.8928322549,4042634.005089509
LIRE-FUELS-107P,SE_W-under5-Unburned-none,Redwood Meadow,"c(354723.06785692, 4042627.72960585)",354723.0678569204,4042627.7296058456
MUIR-FUELS-108P,NW_E-under5-Low-many,Muir,"c(335706.776158376, 4056009.63527017)",335706.7761583757,4056009.6352701704
MUIR-FUELS-109P,NW_E-under5-Low-one,Muir,"c(335074.809519385, 4055030.56677655)",335074.80951938545,4055030.566776554
MUIR-FUELS-110P,NW_E-under5-Unburned-none,Muir,"c(335906.97064979, 4056003.35400304)",335906.97064979037,4056003.3540030387
MUIR-FUELS-111P,SE_W-under5-Low-many,Muir,"c(335494.027890481, 4055616.75257333)",335494.0278904811,4055616.752573331
MUIR-FUELS-112P,SE_W-under5-Low-one,Muir,"c(335687.9457916, 4055410.88973861)",335687.9457916004,4055410.889738608
MUIR-FUELS-113P,SE_W-under5-Low-one,Muir,"c(335112.468616024, 4056228.06102735)",335112.4686160244,4056228.061027353
MUIR-FUELS-114P,SE_W-under5-Moderate-one,Muir,"c(334880.890734457, 4055236.42983688)",334880.89073445695,4055236.4298368753
MUIR-FUELS-115P,SE_W-under5-Unburned-none,Muir,"c(336100.88789864, 4055797.49126623)",336100.88789863954,4055797.4912662306
MUIR-FUELS-116P,SE_W-under5-Unburned-none,Muir,"c(335300.109858032, 4055822.61561438)",335300.10985803243,4055822.6156143793
ORLA-FUELS-117P,NW_E-under5-Unburned-none,Oreole,"c(345745.971055828, 4037515.13354932)",345745.97105582757,4037515.1335493177
ORLA-FUELS-118P,SE_W-under5-Low-one,Oreole,"c(345758.504593075, 4037914.29684351)",345758.5045930748,4037914.296843512
ORLA-FUELS-119P,SE_W-under5-Low-one,Oreole,"c(344751.338084702, 4037746.06152177)",344751.3380847019,4037746.061521767
ORLA-FUELS-120P,SE_W-under5-Moderate-one,Oreole,"c(343531.456391514, 4037184.92480613)",343531.4563915136,4037184.924806134
ORLA-FUELS-121P,SE_W-under5-Unburned-none,Oreole,"c(344951.518330149, 4037739.79237388)",344951.5183301489,4037739.7923738766
ORLA-FUELS-122P,SE_W-under5-Unburned-none,Oreole,"c(346152.596522126, 4037702.17636144)",346152.5965221259,4037702.176361435
PIRI-FUELS-123P,NW_E-under5-Low-one,Muir,"c(333648.341210301, 4054276.19241378)",333648.3412103008,4054276.192413778
PIRI-FUELS-124P,SE_W-under5-Low-one,Muir,"c(334042.45720768, 4054064.04967032)",334042.4572076795,4054064.049670321
RECR-FUELS-125P,NW_E-under5-Low-many,Atwell,"c(346515.354828218, 4036492.14922672)",346515.35482821835,4036492.1492267195
RECR-FUELS-126P,SE_W-under5-Low-many,Atwell,"c(346721.799523651, 4036685.46194884)",346721.799523651,4036685.461948843
RECR-FUELS-127P,SE_W-under5-Low-many,Atwell,"c(347291.00243283, 4035668.74907084)",347291.00243283005,4035668.7490708358
REME-FUELS-128P,NW_E-over5-Low-one,Redwood Meadow,"c(352164.696317117, 4044106.32597234)",352164.69631711696,4044106.325972344
REME-FUELS-129P,SE_W-under5-Low-many,Redwood Meadow,"c(353334.387013435, 4043070.80394134)",353334.38701343496,4043070.803941344
REME-FUELS-130P,SE_W-under5-Low-many,Redwood Meadow,"c(352565.050841595, 4044093.77408349)",352565.0508415945,4044093.7740834863
REME-FUELS-131P,SE_W-under5-Low-one,Redwood Meadow,"c(353153.032793076, 4043675.79956819)",353153.0327930761,4043675.799568192
REME-FUELS-132P,SE_W-under5-Moderate-one,Redwood Meadow,"c(353559.659967201, 4043862.82070428)",353559.65996720095,4043862.82070428
REME-FUELS-133P,SE_W-under5-Unburned-none,Redwood Meadow,"c(353328.113229423, 4042871.23049894)",353328.11322942295,4042871.230498942
REMO-FUELS-134P,NW_E-under5-High-one,Redwood Mountain,"c(330427.001647484, 4060170.9234445)",330427.0016474838,4060170.9234444974
REMO-FUELS-135P,NW_E-under5-Low-many,Redwood Mountain,"c(328725.663244862, 4063420.84203567)",328725.6632448615,4063420.842035665
REMO-FUELS-136P,NW_E-under5-Low-many,Redwood Mountain,"c(330302.156331679, 4062572.21785751)",330302.1563316786,4062572.217857509
REMO-FUELS-137P,NW_E-under5-Moderate-many,Redwood Mountain,"c(329263.469439566, 4061406.13679393)",329263.4694395658,4061406.1367939333
REMO-FUELS-138P,NW_E-under5-Moderate-many,Redwood Mountain,"c(331509.641439352, 4062734.08611366)",331509.6414393517,4062734.086113656
REMO-FUELS-139P,NW_E-under5-Moderate-many,Redwood Mountain,"c(331090.398428393, 4062147.90866807)",331090.3984283934,4062147.908668068
REMO-FUELS-140P,NW_E-under5-Unburned-none,Redwood Mountain,"c(327893.449948949, 4062448.05792067)",327893.44994894904,4062448.057920669
REMO-FUELS-141P,NW_E-under5-Unburned-none,Redwood Mountain,"c(327505.602820872, 4062859.80042539)",327505.6028208718,4062859.8004253884
REMO-FUELS-142P,NW_E-under5-Unburned-none,Redwood Mountain,"c(328925.865940243, 4063414.55590931)",328925.86594024266,4063414.555909314
REMO-FUELS-143P,SE_W-under5-Low-many,Redwood Mountain,"c(329495.069932463, 4062397.77579871)",329495.06993246306,4062397.775798711
REMO-FUELS-144P,SE_W-under5-Low-many,Redwood Mountain,"c(329151.193484889, 4064206.60696964)",329151.19348488864,4064206.6069696387
REMO-FUELS-145P,SE_W-under5-Low-many,Redwood Mountain,"c(327080.077153286, 4062074.02505483)",327080.07715328614,4062074.0250548334
REMO-FUELS-146P,SE_W-under5-Low-many,Redwood Mountain,"c(330527.481360449, 4063364.26591966)",330527.4813604492,4063364.265919661
REMO-FUELS-147P,SE_W-under5-Low-many,Redwood Mountain,"c(329307.428644541, 4062803.23036092)",329307.42864454107,4062803.2303609177
REMO-FUELS-148P,SE_W-under5-Low-many,Redwood Mountain,"c(328969.836098073, 4064811.64641342)",328969.8360980733,4064811.6464134245
REMO-FUELS-149P,SE_W-under5-Low-one,Redwood Mountain,"c(328356.66291974, 4064431.33892169)",328356.66291974013,4064431.3389216936
REMO-FUELS-150P,SE_W-under5-Moderate-many,Redwood Mountain,"c(329701.551996737, 4062591.07470749)",329701.55199673725,4062591.0747074937
REMO-FUELS-151P,SE_W-under5-Moderate-many,Redwood Mountain,"c(329363.959689118, 4064599.48792222)",329363.9596891176,4064599.487922216
REMO-FUELS-152P,SE_W-under5-Moderate-many,Redwood Mountain,"c(328913.304549553, 4063015.38650104)",328913.3045495533,4063015.386501041
REMO-FUELS-153P,SE_W-under5-Moderate-many,Redwood Mountain,"c(330883.917599024, 4061954.61064096)",330883.9175990241,4061954.6106409645
REMO-FUELS-154P,SE_W-under5-Moderate-many,Redwood Mountain,"c(328037.14173075, 4060645.49830852)",328037.14173075004,4060645.498308517
REMO-FUELS-155P,SE_W-under5-Unburned-none,Redwood Mountain,"c(328331.538118937, 4063632.99930379)",328331.53811893746,4063632.999303794
REMO-FUELS-156P,SE_W-under5-Unburned-none,Redwood Mountain,"c(327887.170295872, 4062248.47201669)",327887.1702958725,4062248.4720166903
REMO-FUELS-157P,SE_W-under5-Unburned-none,Redwood Mountain,"c(327874.611496606, 4061849.29997304)",327874.6114966065,4061849.2999730404
REMO-FUELS-158P,SE_W-under5-Unburned-none,Redwood Mountain,"c(327680.68765588, 4062055.17083205)",327680.68765588,4062055.170832048
REMO-FUELS-159P,SE_W-under5-Unburned-none,Redwood Mountain,"c(328125.054130218, 4063439.70025191)",328125.054130218,4063439.7002519094
SKAG-FUELS-160P,SE_W-under5-Low-many,Muir,"c(335237.350534255, 4053826.79010505)",335237.3505342547,4053826.7901050523
SKAG-FUELS-161P,SE_W-under5-Low-one,Muir,"c(335043.431397249, 4054032.65257005)",335043.4313972491,4054032.6525700465
SOFO-FUELS-162P,NW_E-under5-Low-one,South Fork,"c(347365.724154029, 4025277.85033338)",347365.72415402916,4025277.8503333787
SOFO-FUELS-163P,NW_E-under5-Low-one,South Fork,"c(347359.465972726, 4025078.26356235)",347359.46597272635,4025078.263562346
SOFO-FUELS-164P,NW_E-under5-Low-one,South Fork,"c(345751.823976268, 4024928.75649441)",345751.8239762677,4024928.7564944145
SOFO-FUELS-165P,NW_E-under5-Low-one,South Fork,"c(346145.913585487, 4024716.64903034)",346145.9135854874,4024716.6490303446
SOFO-FUELS-166P,NW_E-under5-Low-one,South Fork,"c(347553.380239391, 4024872.41640272)",347553.38023939077,4024872.4164027246
SOFO-FUELS-167P,NW_E-under5-Low-one,South Fork,"c(346152.17090178, 4024916.23693946)",346152.17090178037,4024916.2369394638
SOFO-FUELS-168P,NW_E-under5-Moderate-one,South Fork,"c(346752.690121036, 4024897.45710852)",346752.69012103556,4024897.457108521
SOFO-FUELS-169P,SE_W-under5-Low-one,South Fork,"c(347772.327487604, 4025464.91546484)",347772.32748760417,4025464.915464842
SOFO-FUELS-170P,SE_W-under5-Low-one,South Fork,"c(347565.896638661, 4025271.58975412)",347565.89663866104,4025271.5897541214
SOFO-FUELS-171P,SE_W-under5-Low-one,South Fork,"c(347165.551514661, 4025284.11084648)",347165.55151466123,4025284.1108464813
SOFO-FUELS-172P,SE_W-under5-Low-one,South Fork,"c(345151.302415101, 4024947.53532861)",345151.302415101,4024947.535328614
SOFO-FUELS-173P,SE_W-under5-Low-one,South Fork,"c(345958.254891564, 4025122.08469962)",345958.2548915639,4025122.0846996172
SOFO-FUELS-174P,SE_W-under5-Moderate-one,South Fork,"c(346965.378720363, 4025290.37129345)",346965.37872036267,4025290.371293449
SOFO-FUELS-175P,SE_W-under5-Moderate-one,South Fork,"c(347572.155064091, 4025471.17626155)",347572.1550640913,4025471.1762615526
SUWA-FUELS-176P,NW_E-under5-Moderate-many,Giant Forest,"c(339147.072769074, 4050707.48890706)",339147.0727690739,4050707.488907059
ATWE-FUELS-177P,NW_E-under5-Moderate-many,Atwell,"c(349240.421359517, 4036331.8908702)",349240.42135951726,4036331.8908701995
CEFL-FUELS-178P,SE_W-under5-Unburned-none,South Fork,"c(344589.096996831, 4025389.65765417)",344589.0969968313,4025389.657654172
DILL-FUELS-179P,NW_E-under5-Low-one,Dennison,"c(347075.622208444, 4018419.33522197)",347075.62220844394,4018419.3352219714
DILL-FUELS-180P,NW_E-under5-Low-one,Dennison,"c(345704.133635418, 4019411.1802973)",345704.1336354184,4019411.180297296
EDCR-FUELS-181P,NW_E-under5-Moderate-one,Eden,"c(344353.003451087, 4029043.09439918)",344353.00345108705,4029043.094399184
GARF-FUELS-182P,NW_E-under5-Moderate-one,Dennison,"c(344922.194340557, 4021633.26940683)",344922.1943405567,4021633.2694068262
GRGR-FUELS-183P,NW_E-over5-Unburned-none,Grant Grove,"c(323193.234573028, 4068314.48470196)",323193.2345730276,4068314.4847019613
GRGR-FUELS-184P,SE_W-over5-High-one,Grant Grove,"c(323079.209502944, 4069466.83181916)",323079.209502944,4069466.8318191576
GIFO-FUELS-185P,NW_E-under5-High-one,Giant Forest,"c(340505.195267967, 4048492.32195456)",340505.1952679667,4048492.32195456
GIFO-FUELS-186P,SE_W-under5-Moderate-many,Giant Forest,"c(341330.901476822, 4047667.32558391)",341330.9014768218,4047667.3255839124
GIFO-FUELS-187P,SE_W-under5-Moderate-many,Giant Forest,"c(340120.50120244, 4049003.82726113)",340120.50120244024,4049003.827261134
GRCR-FUELS-188P,NW_E-under5-Low-one,Redwood Meadow,"c(354267.414202851, 4044864.44588268)",354267.4142028509,4044864.4458826757
NEOR-FUELS-189P,NW_E-under5-Moderate-one,Oreole,"c(344246.856156113, 4035239.6430879)",344246.85615611274,4035239.643087898
NEOR-FUELS-190P,SE_W-under5-Moderate-one,Oreole,"c(344647.215068466, 4035227.10886133)",344647.21506846586,4035227.108861326
ORLA-FUELS-191P,NW_E-under5-Low-one,Oreole,"c(345624.775495491, 4037643.79044371)",345624.7754954911,4037643.790443708
PIRI-FUELS-192P,SE_W-under5-Moderate-one,Muir,"c(333739.886871449, 4054797.74548115)",333739.88687144895,4054797.7454811507
RECR-FUELS-193P,SE_W-under5-Moderate-many,Atwell,"c(347212.019720299, 4035546.36122355)",347212.0197202986,4035546.361223553
SKAG-FUELS-194P,SE_W-under5-Unburned-none,Muir,"c(334919.094248871, 4054061.52515182)",334919.0942488706,4054061.525151824
SQCR-FUELS-195P,SE_W-under5-Moderate-one,Oreole,"c(342856.627682175, 4037231.02814811)",342856.6276821749,4037231.0281481124
SUWA-FUELS-196P,NW_E-under5-Low-many,Giant Forest,"c(338913.232429151, 4050440.12704867)",338913.2324291512,4050440.127048674
SUWA-FUELS-197P,SE_W-under5-Low-many,Giant Forest,"c(338766.226763281, 4050544.62587397)",338766.2267632813,4050544.625873969
